clip,offset_s,survival,mean_survival_s,n,window_s
KIT_3_kneel_down_to_crawl04_poses_100_jpos,4.0,0.625,1.192,8,1.42
KIT_3_kneel_down_to_crawl04_poses_100_jpos,6.0,1.0,0.04,8,0.04
KIT_3_kneel_down_to_crawl04_poses_100_jpos,8.0,1.0,0.04,8,0.04
KIT_3_kneel_down_to_crawl04_poses_100_jpos,mean,0.5536,,56,3.0
KIT_3_kneel_down_to_crawl05_poses_100_jpos,0.0,0.75,2.932,8,3.0
KIT_3_kneel_down_to_crawl05_poses_100_jpos,1.0,0.0,2.1,8,3.0
KIT_3_kneel_down_to_crawl05_poses_100_jpos,2.0,0.0,0.742,8,2.9
KIT_3_kneel_down_to_crawl05_poses_100_jpos,3.0,0.0,0.387,8,1.92
KIT_3_kneel_down_to_crawl05_poses_100_jpos,4.0,0.875,0.877,8,0.9
KIT_3_kneel_down_to_crawl05_poses_100_jpos,6.0,1.0,0.04,8,0.04
KIT_3_kneel_down_to_crawl05_poses_100_jpos,8.0,1.0,0.04,8,0.04
KIT_3_kneel_down_to_crawl05_poses_100_jpos,mean,0.5179,,56,3.0
KIT_3_kneel_down_to_crawl06_poses_100_jpos,0.0,1.0,3.0,8,3.0
KIT_3_kneel_down_to_crawl06_poses_100_jpos,1.0,0.625,2.952,8,3.0
KIT_3_kneel_down_to_crawl06_poses_100_jpos,2.0,0.0,1.79,8,3.0
KIT_3_kneel_down_to_crawl06_poses_100_jpos,3.0,0.0,0.657,8,2.6
KIT_3_kneel_down_to_crawl06_poses_100_jpos,4.0,0.0,0.938,8,1.58
KIT_3_kneel_down_to_crawl06_poses_100_jpos,6.0,1.0,0.04,8,0.04
KIT_3_kneel_down_to_crawl06_poses_100_jpos,8.0,1.0,0.04,8,0.04
KIT_3_kneel_down_to_crawl06_poses_100_jpos,mean,0.5179,,56,3.0
KIT_3_kneel_down_with_both_hands01_poses_100_jpos,0.0,1.0,3.0,8,3.0
KIT_3_kneel_down_with_both_hands01_poses_100_jpos,1.0,1.0,3.0,8,3.0
